"","ID","Zone","Level","Region","Ubication","Employees","Taxes","Years","NIh","Nig","Income"
"117","AB0000004570","County19","Medium",1,"C0134526K0167371",68,26,9.5,25,247,711
"118","AB0000004572","County19","Medium",1,"C0298311K0003586",70,13,30.7,25,247,540
"119","AB0000004583","County19","Medium",1,"C0286009K0015888",51,28,23.7,25,247,750
"120","AB0000004603","County19","Medium",1,"C0096618K0205279",48,26,21.3,25,247,712
"121","AB0000004612","County19","Medium",1,"C0000902K0300995",92,17,15.2,25,247,600
"122","AB0000004667","County19","Medium",1,"C0005076K0296821",71,23,26.9,25,247,670
"123","AB0000004687","County19","Medium",1,"C0210812K0091085",110,27,37.2,25,247,735
"124","AB0000004716","County19","Big",1,"C0081460K0220437",90,52,32.6,25,83,1044
"125","AB0000004720","County19","Big",1,"C0206348K0095549",161,57,48.6,25,83,1100
"126","AB0000004726","County19","Big",1,"C0004459K0297438",83,57,37,25,83,1094
"127","AB0000004730","County19","Big",1,"C0300179K0001718",126,59,27.4,25,83,1130
"128","AB0000004742","County19","Big",1,"C0189330K0112567",90,53,33.1,25,83,1060
"129","AB0000004765","County19","Big",1,"C0041959K0259938",172,68,25.4,25,83,1300
"130","AB0000004766","County19","Big",1,"C0101195K0200702",263,196,10.3,25,83,1911
"131","AB0000004803","County19","Small",1,"C0258353K0043544",34,6,45.8,25,116,374
"132","AB0000004814","County19","Small",1,"C0120713K0181184",42,6,35.1,25,116,381
"133","AB0000004829","County19","Small",1,"C0058910K0242987",38,6,19.6,25,116,381
"134","AB0000004836","County19","Small",1,"C0072372K0229525",44,5,30,25,116,337
"135","AB0000004870","County19","Small",1,"C0002091K0299806",10,1,34.9,25,116,210
"136","AB0000004873","County19","Small",1,"C0292723K0009174",95,4,24.7,25,116,330
"137","AB0000004891","County19","Small",1,"C0287107K0014790",49,10,32.6,25,116,480
"138","AB0000004900","County19","Small",1,"C0127975K0173922",43,0.5,2.2,25,116,145
"139","AB0000010728","County24","Small",1,"C0114612K0187285",9,0.5,17.5,25,446,87
"140","AB0000010744","County24","Small",1,"C0174904K0126993",47,6,39.5,25,446,386
"141","AB0000010754","County24","Small",1,"C0293779K0008118",25,10,16.3,25,446,473
"142","AB0000010776","County24","Small",1,"C0218858K0083039",61,8,8.7,25,446,438
"143","AB0000010797","County24","Small",1,"C0069646K0232251",83,7,30,25,446,398
"144","AB0000010809","County24","Small",1,"C0143797K0158100",20,1,30.5,25,446,184
"145","AB0000010844","County24","Small",1,"C0114310K0187587",36,1,36.5,25,446,170
"146","AB0000010856","County24","Small",1,"C0137347K0164550",69,0.5,15.1,25,446,77
"147","AB0000010863","County24","Small",1,"C0175119K0126778",28,1,8.5,25,446,175
"148","AB0000010871","County24","Small",1,"C0159345K0142552",46,0.5,19.7,25,446,120
"149","AB0000010877","County24","Small",1,"C0066457K0235440",79,1,43.5,25,446,152
"150","AB0000010886","County24","Small",1,"C0002937K0298960",75,1,26.8,25,446,151
"151","AB0000010907","County24","Small",1,"C0065695K0236202",14,0.5,42.7,25,446,127
"152","AB0000010915","County24","Small",1,"C0009529K0292368",32,1,36.3,25,446,167
"153","AB0000010932","County24","Small",1,"C0043285K0258612",83,0.5,41.1,25,446,148
"154","AB0000010962","County24","Small",1,"C0086326K0215571",68,1,28,25,446,169
"155","AB0000010967","County24","Small",1,"C0211725K0090172",73,0.5,15.9,25,446,77
"156","AB0000010974","County24","Small",1,"C0085099K0216798",32,1,36.4,25,446,168
"157","AB0000010990","County24","Small",1,"C0021629K0280268",66,1,6.3,25,446,206
"158","AB0000011013","County24","Small",1,"C0092749K0209148",29,3,26.7,25,446,292
"159","AB0000011022","County24","Small",1,"C0290853K0011044",29,6,38.4,25,446,365
"160","AB0000011053","County24","Small",1,"C0275760K0026137",32,2,8,25,446,260
"161","AB0000011059","County24","Small",1,"C0151827K0150070",87,2,10.9,25,446,235
"162","AB0000011101","County24","Small",1,"C0076287K0225610",22,2,32.8,25,446,218
"163","AB0000011106","County24","Small",1,"C0034218K0267679",71,4,11.1,25,446,318
"164","AB0000011155","County25","Small",1,"C0264695K0037202",84,10,20.7,25,6,470
"165","AB0000011158","County25","Small",1,"C0257764K0044133",32,10,40.4,25,6,470
"166","AB0000011160","County25","Small",1,"C0184826K0117071",94,10.5,7,25,6,499
"167","AB0000011180","County25","Medium",1,"C0248438K0053459",44,17,27,25,324,600
"168","AB0000011184","County25","Medium",1,"C0016779K0285118",97,24,6.3,25,324,700
"169","AB0000011188","County25","Medium",1,"C0089629K0212268",92,14,21.9,25,324,553
"170","AB0000011194","County25","Medium",1,"C0193021K0108876",57,24,25.2,25,324,691
"171","AB0000011195","County25","Medium",1,"C0165468K0136429",99,28,4.8,25,324,750
"172","AB0000011197","County25","Medium",1,"C0173980K0127917",53,30,11.5,25,324,772
"173","AB0000011200","County25","Medium",1,"C0033894K0268003",92,26,45.3,25,324,710
"174","AB0000011237","County25","Medium",1,"C0283752K0018145",106,34,38.3,25,324,820
"175","AB0000011274","County25","Medium",1,"C0163309K0138588",96,12,41.2,25,324,513
"176","AB0000011294","County25","Medium",1,"C0232950K0068947",36,12,38.4,25,324,510
"177","AB0000011307","County25","Medium",1,"C0272217K0029680",60,15,17.7,25,324,560
"178","AB0000011343","County25","Medium",1,"C0083384K0218513",52,14,38,25,324,556
"179","AB0000011350","County25","Medium",1,"C0035331K0266566",48,18,2.3,25,324,600
"180","AB0000011410","County25","Medium",1,"C0206490K0095407",57,21,2.2,25,324,640
"181","AB0000011415","County25","Medium",1,"C0045030K0256867",106,45,38.3,25,324,963
"182","AB0000011420","County25","Medium",1,"C0011792K0290105",60,39,3.5,25,324,890
"183","AB0000011423","County25","Medium",1,"C0120640K0181257",101,43,29.6,25,324,957
"184","AB0000011464","County25","Medium",1,"C0161858K0140039",24,12,43.1,25,324,510
"185","AB0000011465","County25","Medium",1,"C0170397K0131500",88,12,41.1,25,324,519
"186","AB0000012452","County27","Small",2,"C0205248K0096649",59,2,12.1,25,1128,236
"187","AB0000012477","County27","Small",2,"C0264909K0036988",55,2,26.4,25,1128,242
"188","AB0000012497","County27","Small",2,"C0180151K0121746",8,1,39.5,25,1128,167
"189","AB0000012531","County27","Small",2,"C0188939K0112958",19,1,49.2,25,1128,153
"190","AB0000012554","County27","Small",2,"C0069665K0232232",89,1,32.5,25,1128,196
"191","AB0000012571","County27","Small",2,"C0178873K0123024",85,1,16.5,25,1128,195
"192","AB0000012606","County27","Small",2,"C0250287K0051610",41,0.5,8.6,25,1128,101
"193","AB0000012615","County27","Small",2,"C0290449K0011448",38,0.5,25.6,25,1128,130
"194","AB0000012621","County27","Small",2,"C0118580K0183317",83,0.5,20.7,25,1128,136
"195","AB0000012651","County27","Small",2,"C0139924K0161973",82,0.5,47.1,25,1128,131
"196","AB0000012673","County27","Small",2,"C0085185K0216712",41,1,25.4,25,1128,196
"197","AB0000012758","County27","Small",2,"C0244308K0057589",52,7,46.3,25,1128,416
"198","AB0000012766","County27","Small",2,"C0286115K0015782",27,1,27.5,25,1128,153
"199","AB0000012772","County27","Small",2,"C0244719K0057178",54,6,42.6,25,1128,385
"200","AB0000012793","County27","Small",2,"C0265886K0036011",25,10.5,30.4,25,1128,487
"201","AB0000012814","County27","Small",2,"C0141789K0160108",44,10,13.6,25,1128,470
"202","AB0000012816","County27","Small",2,"C0206049K0095848",92,5,30.6,25,1128,350
"203","AB0000012817","County27","Small",2,"C0246986K0054911",35,0.5,47,25,1128,137
"204","AB0000012819","County27","Small",2,"C0257247K0044650",31,7,37.7,25,1128,390
"205","AB0000012829","County27","Small",2,"C0236724K0065173",29,8,8.5,25,1128,420
"206","AB0000012851","County27","Small",2,"C0171625K0130272",39,6,36.2,25,1128,389
"207","AB0000012907","County27","Small",2,"C0288980K0012917",45,10,42.9,25,1128,480
"208","AB0000012930","County27","Small",2,"C0238431K0063466",36,7,19.6,25,1128,409
"209","AB0000012943","County27","Small",2,"C0041405K0260492",67,9,32.7,25,1128,460
"210","AB0000012946","County27","Small",2,"C0055483K0246414",66,6,44.6,25,1128,370
"211","AB0000012979","County27","Small",2,"C0106011K0195886",75,7,20.5,25,1128,392
"212","AB0000012981","County27","Small",2,"C0280768K0021129",39,9,18.1,25,1128,460
"213","AB0000012992","County27","Small",2,"C0204893K0097004",60,5,32.6,25,1128,347
"214","AB0000012996","County27","Small",2,"C0010303K0291594",40,5,47.5,25,1128,345
"215","AB0000013017","County27","Small",2,"C0075204K0226693",43,7,40.2,25,1128,395
"216","AB0000013020","County27","Small",2,"C0006178K0295719",41,5,9.6,25,1128,360
"217","AB0000013028","County27","Small",2,"C0102756K0199141",78,0.5,11.1,25,1128,110
"218","AB0000013036","County27","Small",2,"C0219381K0082516",65,0.5,17.6,25,1128,89
"219","AB0000013043","County27","Small",2,"C0287481K0014416",28,7,49,25,1128,420
"220","AB0000013055","County27","Small",2,"C0067618K0234279",52,7,4.7,25,1128,411
"221","AB0000013062","County27","Small",2,"C0103061K0198836",72,5,20.3,25,1128,350
"222","AB0000013081","County27","Small",2,"C0040589K0261308",33,6,36.7,25,1128,370
"223","AB0000013087","County27","Small",2,"C0209243K0092654",87,7,8.5,25,1128,400
"224","AB0000013115","County27","Small",2,"C0105727K0196170",67,7,26.5,25,1128,393
"225","AB0000013117","County27","Small",2,"C0243412K0058485",21,8,11.4,25,1128,425
"226","AB0000013168","County27","Small",2,"C0212029K0089868",76,7,28.6,25,1128,405
"227","AB0000013170","County27","Small",2,"C0068806K0233091",40,10,41,25,1128,470
"228","AB0000013173","County27","Small",2,"C0287240K0014657",51,9,48.6,25,1128,460
"229","AB0000013204","County27","Small",2,"C0233387K0068510",13,1,33.6,25,1128,190
"230","AB0000013213","County27","Small",2,"C0295600K0006297",25,0.5,30.6,25,1128,82
"231","AB0000013235","County27","Small",2,"C0002227K0299670",38,0.5,12.6,25,1128,119
"232","AB0000013241","County27","Small",2,"C0112898K0188999",13,0.5,48.5,25,1128,52
"233","AB0000013255","County27","Small",2,"C0003970K0297927",68,1,46.9,25,1128,173
"234","AB0000013266","County27","Small",2,"C0226195K0075702",77,0.5,9.3,25,1128,101
"235","AB0000013321","County27","Small",2,"C0159963K0141934",45,1,49.9,25,1128,191
"236","AB0000013326","County27","Small",2,"C0126012K0175885",86,0.5,32.2,25,1128,112
"237","AB0000013375","County27","Small",2,"C0278339K0023558",36,1,23.4,25,1128,174
"238","AB0000013376","County27","Small",2,"C0290644K0011253",27,0.5,4.3,25,1128,149
"239","AB0000013380","County27","Small",2,"C0039115K0262782",68,2,48.1,25,1128,257
"240","AB0000013403","County27","Small",2,"C0189986K0111911",74,2,16.2,25,1128,220
"241","AB0000013464","County27","Small",2,"C0076980K0224917",6,2,43.8,25,1128,219
"242","AB0000013507","County27","Small",2,"C0284494K0017403",77,3,10.8,25,1128,283
"243","AB0000013541","County27","Small",2,"C0194284K0107613",50,10.5,27.5,25,1128,490
"244","AB0000013554","County27","Small",2,"C0239742K0062155",32,10,43.1,25,1128,470
"245","AB0000013560","County27","Medium",2,"C0111536K0190361",60,14,34.9,25,326,553
"246","AB0000013565","County27","Medium",2,"C0121886K0180011",119,23,43.3,25,326,671
"247","AB0000013588","County27","Medium",2,"C0205657K0096240",126,27,15.8,25,326,730
"248","AB0000013596","County27","Medium",2,"C0205555K0096342",92,26,19.4,25,326,710
"249","AB0000013619","County27","Medium",2,"C0014816K0287081",89,18,47.7,25,326,610
"250","AB0000013624","County27","Medium",2,"C0137755K0164142",110,22,30.1,25,326,664
"251","AB0000013668","County27","Medium",2,"C0183206K0118691",63,32,18.3,25,326,798
"252","AB0000013686","County27","Medium",2,"C0024723K0277174",78,19,32.8,25,326,619
"253","AB0000013705","County27","Medium",2,"C0294012K0007885",57,18,2.9,25,326,610
"254","AB0000013753","County27","Medium",2,"C0290784K0011113",118,41,25.7,25,326,920
"255","AB0000013757","County27","Medium",2,"C0220032K0081865",30,13,17.4,25,326,538
"256","AB0000013770","County27","Medium",2,"C0257067K0044830",97,13,19.2,25,326,530
"257","AB0000013776","County27","Medium",2,"C0115396K0186501",74,13,43.9,25,326,540
"258","AB0000013796","County27","Medium",2,"C0052115K0249782",107,16,33.2,25,326,589
"259","AB0000013799","County27","Medium",2,"C0182690K0119207",58,16,15.8,25,326,580
"260","AB0000013806","County27","Medium",2,"C0231862K0070035",57,21,42.2,25,326,640
"261","AB0000013808","County27","Medium",2,"C0093570K0208327",71,34,43.7,25,326,821
"262","AB0000013825","County27","Medium",2,"C0245114K0056783",47,23,38.8,25,326,674
"263","AB0000013831","County27","Medium",2,"C0237933K0063964",131,43,21.6,25,326,944
"264","AB0000013909","County28","Medium",2,"C0008517K0293380",92,12,31.5,25,411,512
"265","AB0000013922","County28","Medium",2,"C0214926K0086971",94,11,30.9,25,411,500
"266","AB0000013934","County28","Medium",2,"C0221640K0080257",87,12,6.9,25,411,508
"267","AB0000013944","County28","Medium",2,"C0195114K0106783",53,15,30.3,25,411,570
"268","AB0000013949","County28","Medium",2,"C0159028K0142869",118,22,32.4,25,411,660
"269","AB0000013978","County28","Medium",2,"C0234411K0067486",55,16,25.3,25,411,590
"270","AB0000014004","County28","Medium",2,"C0014673K0287224",108,17,40.5,25,411,597
"271","AB0000014018","County28","Medium",2,"C0135792K0166105",68,12,1.1,25,411,511
"272","AB0000014038","County28","Medium",2,"C0288367K0013530",93,21,37.3,25,411,640
"273","AB0000014062","County28","Medium",2,"C0175877K0126020",89,21,42.3,25,411,650
"274","AB0000014063","County28","Medium",2,"C0081536K0220361",103,19,20.6,25,411,630
"275","AB0000014080","County28","Medium",2,"C0262849K0039048",67,32,7.7,25,411,800
"276","AB0000014099","County28","Medium",2,"C0241594K0060303",98,24,25.2,25,411,700
"277","AB0000014129","County28","Medium",2,"C0159932K0141965",33,18,17,25,411,601
"278","AB0000014132","County28","Medium",2,"C0079630K0222267",151,46,10,25,411,986
"279","AB0000014158","County28","Medium",2,"C0240321K0061576",39,16,25.5,25,411,586
"280","AB0000014173","County28","Medium",2,"C0183365K0118532",98,16,36.1,25,411,582
"281","AB0000014179","County28","Medium",2,"C0082571K0219326",105,33,29.7,25,411,810
"282","AB0000014218","County28","Medium",2,"C0158766K0143131",110,18,42.2,25,411,610
"283","AB0000014231","County28","Medium",2,"C0042933K0258964",41,18,26.8,25,411,610
"284","AB0000014247","County28","Medium",2,"C0127892K0174005",86,18,32.3,25,411,610
"285","AB0000014248","County28","Medium",2,"C0027243K0274654",73,18,39.3,25,411,610
"286","AB0000014255","County28","Medium",2,"C0297433K0004464",79,28,12.7,25,411,750
"287","AB0000014306","County28","Big",2,"C0159329K0142568",172,82,17.4,25,83,1396
"288","AB0000014315","County28","Big",2,"C0177707K0124190",133,94,18.1,25,83,1450
"289","AB0000014349","County28","Big",2,"C0189581K0112316",172,68,18.5,25,83,1300
"290","AB0000014362","County28","Big",2,"C0202621K0099276",110,83,18.1,25,83,1405
"291","AB0000014372","County28","Big",2,"C0023062K0278835",89,50,32.4,25,83,1020
"292","AB0000014373","County28","Big",2,"C0291927K0009970",91,54,2,25,83,1077
"293","AB0000014374","County28","Big",2,"C0019017K0282880",161,67,2.6,25,83,1297
"294","AB0000014386","County28","Small",2,"C0120724K0181173",25,5,39.5,25,1454,361
"295","AB0000014390","County28","Small",2,"C0011190K0290707",23,4,17.5,25,1454,330
"296","AB0000014396","County28","Small",2,"C0179635K0122262",47,7,37.6,25,1454,404
"297","AB0000014410","County28","Small",2,"C0035544K0266353",80,5,29.6,25,1454,350
"298","AB0000014426","County28","Small",2,"C0298161K0003736",37,8,49.6,25,1454,430
"299","AB0000014431","County28","Small",2,"C0112906K0188991",76,5,4.7,25,1454,345
"300","AB0000014462","County28","Small",2,"C0214370K0087527",75,9,23.1,25,1454,456
"301","AB0000014463","County28","Small",2,"C0019649K0282248",62,10.5,30.9,25,1454,490
"302","AB0000014473","County28","Small",2,"C0020069K0281828",30,6,45.1,25,1454,378
"303","AB0000014500","County28","Small",2,"C0233517K0068380",42,2,46.9,25,1454,230
"304","AB0000014503","County28","Small",2,"C0071903K0229994",32,3,27.5,25,1454,270
"305","AB0000014504","County28","Small",2,"C0284478K0017419",69,3,12.6,25,1454,282
"306","AB0000014528","County28","Small",2,"C0172983K0128914",21,0.5,30.6,25,1454,75
"307","AB0000014535","County28","Small",2,"C0114917K0186980",10,2,36.9,25,1454,230
"308","AB0000014564","County28","Small",2,"C0059704K0242193",14,4,38.8,25,1454,313
"309","AB0000014615","County28","Small",2,"C0253135K0048762",57,3,27.5,25,1454,297
"310","AB0000014624","County28","Small",2,"C0165033K0136864",24,5,16.2,25,1454,340
"311","AB0000014667","County28","Small",2,"C0053447K0248450",51,4,28.9,25,1454,320
"312","AB0000014673","County28","Small",2,"C0208692K0093205",13,3,30.9,25,1454,296
"313","AB0000014701","County28","Small",2,"C0143146K0158751",22,1,23.7,25,1454,208
"314","AB0000014774","County28","Small",2,"C0066038K0235859",45,3,4.3,25,1454,277
"315","AB0000014787","County28","Small",2,"C0058582K0243315",60,5,10.5,25,1454,343
"316","AB0000014789","County28","Small",2,"C0040477K0261420",66,2,28.5,25,1454,222
"317","AB0000014794","County28","Small",2,"C0147537K0154360",74,4,1.7,25,1454,307
"318","AB0000014824","County28","Small",2,"C0261073K0040824",56,3,41.9,25,1454,266
"319","AB0000014861","County28","Small",2,"C0172207K0129690",27,2,1.5,25,1454,243
"320","AB0000014888","County28","Small",2,"C0137883K0164014",63,4,34.3,25,1454,315
"321","AB0000014905","County28","Small",2,"C0254729K0047168",66,2,37.3,25,1454,226
"322","AB0000014918","County28","Small",2,"C0008193K0293704",50,0.5,23.6,25,1454,130
"323","AB0000014953","County28","Small",2,"C0262220K0039677",67,0.5,2.2,25,1454,141
"324","AB0000014958","County28","Small",2,"C0003061K0298836",72,1,43.1,25,1454,164
